GR_NAME,PL_T,P+,OBJ_COUNT
Akmenės Vartotojai,2023-05-01 00:00:00,0.4633,5
Akmenės Vartotojai,2023-05-01 01:00:00,0.6218,5
Akmenės Vartotojai,2023-05-01 02:00:00,0.5157,5
Akmenės Vartotojai,2023-05-01 03:00:00,0.5415,5
Akmenės Vartotojai,2023-05-01 04:00:00,0.5765,5
Akmenės Vartotojai,2023-05-01 05:00:00,0.4048,5
Akmenės Vartotojai,2023-05-01 06:00:00,0.736,5
Akmenės Vartotojai,2023-05-01 07:00:00,1.2114,5
Akmenės Vartotojai,2023-05-01 08:00:00,0.815,5
Akmenės Vartotojai,2023-05-01 09:00:00,2.3002,5
Akmenės Vartotojai,2023-05-01 10:00:00,2.4929,5
Akmenės Vartotojai,2023-05-01 11:00:00,1.7217,5
Akmenės Vartotojai,2023-05-01 12:00:00,1.906,5
Akmenės Vartotojai,2023-05-01 13:00:00,1.8288,5
Akmenės Vartotojai,2023-05-01 14:00:00,2.0462,5
Akmenės Vartotojai,2023-05-01 15:00:00,0.807,5
Akmenės Vartotojai,2023-05-01 16:00:00,1.3724,5
Akmenės Vartotojai,2023-05-01 17:00:00,0.7323,5
Akmenės Vartotojai,2023-05-01 18:00:00,1.333,5
Akmenės Vartotojai,2023-05-01 19:00:00,1.8339,5
Akmenės Vartotojai,2023-05-01 20:00:00,1.1148,5
Akmenės Vartotojai,2023-05-01 21:00:00,0.7453,5
Akmenės Vartotojai,2023-05-01 22:00:00,0.5944,5
Akmenės Vartotojai,2023-05-01 23:00:00,0.5268,5
Akmenės Vartotojai,2023-05-02 00:00:00,0.6144,5
Akmenės Vartotojai,2023-05-02 01:00:00,0.6145,5
Akmenės Vartotojai,2023-05-02 02:00:00,0.5144,5
Akmenės Vartotojai,2023-05-02 03:00:00,0.5961,5
Akmenės Vartotojai,2023-05-02 04:00:00,0.4976,5
Akmenės Vartotojai,2023-05-02 05:00:00,0.5004,5
Akmenės Vartotojai,2023-05-02 06:00:00,0.6422,5
Akmenės Vartotojai,2023-05-02 07:00:00,0.6192,5
Akmenės Vartotojai,2023-05-02 08:00:00,0.6356,5
Akmenės Vartotojai,2023-05-02 09:00:00,0.8824,5
Akmenės Vartotojai,2023-05-02 10:00:00,0.5674,5
Akmenės Vartotojai,2023-05-02 11:00:00,0.9146,5
Akmenės Vartotojai,2023-05-02 12:00:00,0.5779,5
Akmenės Vartotojai,2023-05-02 13:00:00,0.4996,5
Akmenės Vartotojai,2023-05-02 14:00:00,0.6459,5
Akmenės Vartotojai,2023-05-02 15:00:00,0.7903,5
Akmenės Vartotojai,2023-05-02 16:00:00,1.1646,5
Akmenės Vartotojai,2023-05-02 17:00:00,0.7373,5
Akmenės Vartotojai,2023-05-02 18:00:00,0.9288,5
Akmenės Vartotojai,2023-05-02 19:00:00,0.875,5
Akmenės Vartotojai,2023-05-02 20:00:00,0.8257,5
Akmenės Vartotojai,2023-05-02 21:00:00,2.1988,5
Akmenės Vartotojai,2023-05-02 22:00:00,1.9465,5
Akmenės Vartotojai,2023-05-02 23:00:00,1.5391,5
Akmenės Vartotojai,2023-05-03 00:00:00,0.6674,5
Akmenės Vartotojai,2023-05-03 01:00:00,0.5626,5
Akmenės Vartotojai,2023-05-03 02:00:00,0.6872,5
Akmenės Vartotojai,2023-05-03 03:00:00,0.5479,5
Akmenės Vartotojai,2023-05-03 04:00:00,0.4628,5
Akmenės Vartotojai,2023-05-03 05:00:00,0.5642,5
