GR_NAME,PL_T,P+,OBJ_COUNT
Anykščių Vartotojai,2024-03-01 00:00:00,3.9119,3
Anykščių Vartotojai,2024-03-01 01:00:00,2.2975,3
Anykščių Vartotojai,2024-03-01 02:00:00,1.9897,3
Anykščių Vartotojai,2024-03-01 03:00:00,2.0003,3
Anykščių Vartotojai,2024-03-01 04:00:00,1.9035,3
Anykščių Vartotojai,2024-03-01 05:00:00,2.094,3
Anykščių Vartotojai,2024-03-01 06:00:00,2.5442,3
Anykščių Vartotojai,2024-03-01 07:00:00,2.2949,3
Anykščių Vartotojai,2024-03-01 08:00:00,2.0152,3
Anykščių Vartotojai,2024-03-01 09:00:00,2.5981,3
Anykščių Vartotojai,2024-03-01 10:00:00,1.8233,3
Anykščių Vartotojai,2024-03-01 11:00:00,1.9312,3
Anykščių Vartotojai,2024-03-01 12:00:00,0.1788,3
Anykščių Vartotojai,2024-03-01 13:00:00,0.4264,3
Anykščių Vartotojai,2024-03-01 14:00:00,0.2512,3
Anykščių Vartotojai,2024-03-01 15:00:00,0.1386,3
Anykščių Vartotojai,2024-03-01 16:00:00,0.1337,3
Anykščių Vartotojai,2024-03-01 17:00:00,1.7424,3
Anykščių Vartotojai,2024-03-01 18:00:00,1.4625,3
Anykščių Vartotojai,2024-03-01 19:00:00,0.3045,3
Anykščių Vartotojai,2024-03-01 20:00:00,0.7478,3
Anykščių Vartotojai,2024-03-01 21:00:00,0.155,3
Anykščių Vartotojai,2024-03-01 22:00:00,0.1439,3
Anykščių Vartotojai,2024-03-01 23:00:00,0.1542,3
Anykščių Vartotojai,2024-03-02 00:00:00,0.1566,3
Anykščių Vartotojai,2024-03-02 01:00:00,1.5062,3
Anykščių Vartotojai,2024-03-02 02:00:00,1.3403,3
Anykščių Vartotojai,2024-03-02 03:00:00,1.1191,3
Anykščių Vartotojai,2024-03-02 04:00:00,1.3596,3
Anykščių Vartotojai,2024-03-02 05:00:00,2.4763,3
Anykščių Vartotojai,2024-03-02 06:00:00,1.7229,3
Anykščių Vartotojai,2024-03-02 07:00:00,1.4522,3
Anykščių Vartotojai,2024-03-02 08:00:00,1.5921,3
Anykščių Vartotojai,2024-03-02 09:00:00,0.6632,3
Anykščių Vartotojai,2024-03-02 10:00:00,0.1753,3
Anykščių Vartotojai,2024-03-02 11:00:00,0.1198,3
Anykščių Vartotojai,2024-03-02 12:00:00,0.7531,3
Anykščių Vartotojai,2024-03-02 13:00:00,0.8499,3
Anykščių Vartotojai,2024-03-02 14:00:00,1.7771,3
Anykščių Vartotojai,2024-03-02 15:00:00,1.4454,3
Anykščių Vartotojai,2024-03-02 16:00:00,0.122,3
Anykščių Vartotojai,2024-03-02 17:00:00,0.4279,3
