GR_NAME,PL_T,P+,OBJ_COUNT
Akmenės Vartotojai,2023-12-01 00:00:00,0.29,1
Akmenės Vartotojai,2023-12-01 01:00:00,0.352,1
Akmenės Vartotojai,2023-12-01 02:00:00,0.262,1
Akmenės Vartotojai,2023-12-01 03:00:00,0.16,1
Akmenės Vartotojai,2023-12-01 04:00:00,0.13,1
Akmenės Vartotojai,2023-12-01 05:00:00,0.17,1
Akmenės Vartotojai,2023-12-01 06:00:00,0.184,1
Akmenės Vartotojai,2023-12-01 07:00:00,0.168,1
Akmenės Vartotojai,2023-12-01 08:00:00,0.126,1
Akmenės Vartotojai,2023-12-01 09:00:00,0.188,1
Akmenės Vartotojai,2023-12-01 10:00:00,0.378,1
Akmenės Vartotojai,2023-12-01 11:00:00,0.284,1
Akmenės Vartotojai,2023-12-01 12:00:00,0.234,1
Akmenės Vartotojai,2023-12-01 13:00:00,0.648,1
Akmenės Vartotojai,2023-12-01 14:00:00,0.286,1
Akmenės Vartotojai,2023-12-01 15:00:00,0.528,1
Akmenės Vartotojai,2023-12-01 16:00:00,0.524,1
Akmenės Vartotojai,2023-12-01 17:00:00,0.222,1
Akmenės Vartotojai,2023-12-01 18:00:00,0.33,1
Akmenės Vartotojai,2023-12-01 19:00:00,0.98,1
Akmenės Vartotojai,2023-12-01 20:00:00,0.316,1
Akmenės Vartotojai,2023-12-01 21:00:00,1.338,1
Akmenės Vartotojai,2023-12-01 22:00:00,0.48,1
Akmenės Vartotojai,2023-12-01 23:00:00,0.71,1
Akmenės Vartotojai,2023-12-02 00:00:00,0.482,1
Akmenės Vartotojai,2023-12-02 01:00:00,0.384,1
Akmenės Vartotojai,2023-12-02 02:00:00,0.214,1
Akmenės Vartotojai,2023-12-02 03:00:00,0.196,1
Akmenės Vartotojai,2023-12-02 04:00:00,0.158,1
Akmenės Vartotojai,2023-12-02 05:00:00,0.136,1
Akmenės Vartotojai,2023-12-02 06:00:00,0.188,1
Akmenės Vartotojai,2023-12-02 07:00:00,0.2,1
Akmenės Vartotojai,2023-12-02 08:00:00,0.156,1
Akmenės Vartotojai,2023-12-02 09:00:00,0.132,1
Akmenės Vartotojai,2023-12-02 10:00:00,0.274,1
Akmenės Vartotojai,2023-12-02 11:00:00,0.392,1
Akmenės Vartotojai,2023-12-02 12:00:00,0.246,1
Akmenės Vartotojai,2023-12-02 13:00:00,1.04,1
Akmenės Vartotojai,2023-12-02 14:00:00,0.748,1
Akmenės Vartotojai,2023-12-02 15:00:00,0.712,1
Akmenės Vartotojai,2023-12-02 16:00:00,0.148,1
Akmenės Vartotojai,2023-12-02 17:00:00,0.402,1
Akmenės Vartotojai,2023-12-02 18:00:00,1.07,1
Akmenės Vartotojai,2023-12-02 19:00:00,0.756,1
Akmenės Vartotojai,2023-12-02 20:00:00,0.498,1
Akmenės Vartotojai,2023-12-02 21:00:00,0.522,1
Akmenės Vartotojai,2023-12-02 22:00:00,0.792,1
Akmenės Vartotojai,2023-12-02 23:00:00,0.662,1
Akmenės Vartotojai,2023-12-03 00:00:00,0.478,1
Akmenės Vartotojai,2023-12-03 01:00:00,0.224,1
Akmenės Vartotojai,2023-12-03 02:00:00,0.238,1
Akmenės Vartotojai,2023-12-03 03:00:00,0.184,1
Akmenės Vartotojai,2023-12-03 04:00:00,0.136,1
