GR_NAME;PL_T;P+;OBJ_COUNT
Akmenës Vartotojai;2021-04-01 00:00:00.000;0,716;3
Akmenës Vartotojai;2021-04-01 01:00:00.000;0,5169;3
Akmenës Vartotojai;2021-04-01 02:00:00.000;0,6075;3
Akmenës Vartotojai;2021-04-01 03:00:00.000;0,55;3
Akmenës Vartotojai;2021-04-01 04:00:00.000;1,217;3
Akmenës Vartotojai;2021-04-01 05:00:00.000;0,5968;3
Akmenës Vartotojai;2021-04-01 06:00:00.000;0,4969;3
Akmenës Vartotojai;2021-04-01 07:00:00.000;0,5225;3
Akmenës Vartotojai;2021-04-01 08:00:00.000;0,6467;3
Akmenës Vartotojai;2021-04-01 09:00:00.000;1,9777;3
Akmenës Vartotojai;2021-04-01 10:00:00.000;1,9902;3
Akmenës Vartotojai;2021-04-01 11:00:00.000;1,5085;3
Akmenës Vartotojai;2021-04-01 12:00:00.000;0,7074;3
Akmenës Vartotojai;2021-04-01 13:00:00.000;0,7402;3
Akmenës Vartotojai;2021-04-01 14:00:00.000;0,4896;3
Akmenës Vartotojai;2021-04-01 15:00:00.000;0,793;3
Akmenës Vartotojai;2021-04-01 16:00:00.000;0,732;3
Akmenës Vartotojai;2021-04-01 17:00:00.000;0,7985;3
Akmenës Vartotojai;2021-04-01 18:00:00.000;1,0055;3
Akmenës Vartotojai;2021-04-01 19:00:00.000;1,147;3
Akmenës Vartotojai;2021-04-01 20:00:00.000;1,0377;3
Akmenës Vartotojai;2021-04-01 21:00:00.000;0,8771;3
Akmenës Vartotojai;2021-04-01 22:00:00.000;0,9369;3
Akmenës Vartotojai;2021-04-01 23:00:00.000;0,9306;3
Akmenës Vartotojai;2021-04-02 00:00:00.000;1,5059;3
Akmenës Vartotojai;2021-04-02 01:00:00.000;0,507;3
Akmenës Vartotojai;2021-04-02 02:00:00.000;0,51;3
Akmenës Vartotojai;2021-04-02 03:00:00.000;0,509;3
Akmenës Vartotojai;2021-04-02 04:00:00.000;0,5504;3
Akmenës Vartotojai;2021-04-02 05:00:00.000;0,442;3
Akmenës Vartotojai;2021-04-02 06:00:00.000;0,6491;3
Akmenës Vartotojai;2021-04-02 07:00:00.000;1,4734;3
Akmenës Vartotojai;2021-04-02 08:00:00.000;0,6139;3
Akmenës Vartotojai;2021-04-02 09:00:00.000;1,1769;3
Akmenës Vartotojai;2021-04-02 10:00:00.000;2,3824;3
Akmenës Vartotojai;2021-04-02 11:00:00.000;1,5098;3
Akmenës Vartotojai;2021-04-02 12:00:00.000;0,9097;3
Akmenës Vartotojai;2021-04-02 13:00:00.000;0,5869;3
