GR_NAME,PL_T,P+,OBJ_COUNT
Kauno Vartotojai,2024-07-01 00:00:00,0.0573,2
Kauno Vartotojai,2024-07-01 01:00:00,0.3979,2
Kauno Vartotojai,2024-07-01 02:00:00,0.0897,2
Kauno Vartotojai,2024-07-01 03:00:00,0.0742,2
Kauno Vartotojai,2024-07-01 04:00:00,0.0548,2
Kauno Vartotojai,2024-07-01 05:00:00,0.391,2
Kauno Vartotojai,2024-07-01 06:00:00,0.087,2
Kauno Vartotojai,2024-07-01 07:00:00,0.0499,2
Kauno Vartotojai,2024-07-01 08:00:00,0.0818,2
Kauno Vartotojai,2024-07-01 09:00:00,0.3931,2
Kauno Vartotojai,2024-07-01 10:00:00,0.0655,2
Kauno Vartotojai,2024-07-01 11:00:00,0.0613,2
Kauno Vartotojai,2024-07-01 12:00:00,0.0908,2
Kauno Vartotojai,2024-07-01 13:00:00,0.3969,2
Kauno Vartotojai,2024-07-01 14:00:00,0.0516,2
Kauno Vartotojai,2024-07-01 15:00:00,0.0856,2
Kauno Vartotojai,2024-07-01 16:00:00,0.0901,2
Kauno Vartotojai,2024-07-01 17:00:00,0.398,2
Kauno Vartotojai,2024-07-01 18:00:00,0.0662,2
Kauno Vartotojai,2024-07-01 19:00:00,0.0891,2
Kauno Vartotojai,2024-07-01 20:00:00,0.08,2
Kauno Vartotojai,2024-07-01 21:00:00,0.2668,2
Kauno Vartotojai,2024-07-01 22:00:00,0.2046,2
Kauno Vartotojai,2024-07-01 23:00:00,0.0901,2
Kauno Vartotojai,2024-07-02 00:00:00,0.0582,2
Kauno Vartotojai,2024-07-02 01:00:00,0.0723,2
Kauno Vartotojai,2024-07-02 02:00:00,0.4228,2
Kauno Vartotojai,2024-07-02 03:00:00,0.0715,2
Kauno Vartotojai,2024-07-02 04:00:00,0.0558,2
Kauno Vartotojai,2024-07-02 05:00:00,0.1031,2
Kauno Vartotojai,2024-07-02 06:00:00,0.4753,2
Kauno Vartotojai,2024-07-02 07:00:00,0.0729,2
Kauno Vartotojai,2024-07-02 08:00:00,0.0709,2
Kauno Vartotojai,2024-07-02 09:00:00,0.0911,2
Kauno Vartotojai,2024-07-02 10:00:00,0.1098,2
Kauno Vartotojai,2024-07-02 11:00:00,0.3108,2
Kauno Vartotojai,2024-07-02 12:00:00,0.0899,2
Kauno Vartotojai,2024-07-02 13:00:00,0.0847,2
Kauno Vartotojai,2024-07-02 14:00:00,0.0753,2
Kauno Vartotojai,2024-07-02 15:00:00,0.3804,2
Kauno Vartotojai,2024-07-02 16:00:00,0.0907,2
Kauno Vartotojai,2024-07-02 17:00:00,0.0611,2
Kauno Vartotojai,2024-07-02 18:00:00,0.0658,2
Kauno Vartotojai,2024-07-02 19:00:00,0.4044,2
Kauno Vartotojai,2024-07-02 20:00:00,0.0764,2
Kauno Vartotojai,2024-07-02 21:00:00,0.0512,2
Kauno Vartotojai,2024-07-02 22:00:00,0.0888,2
Kauno Vartotojai,2024-07-02 23:00:00,0.4365,2
Kauno Vartotojai,2024-07-03 00:00:00,0.0506,2
Kauno Vartotojai,2024-07-03 01:00:00,0.0789,2
Kauno Vartotojai,2024-07-03 02:00:00,0.0889,2
Kauno Vartotojai,2024-07-03 03:00:00,0.3802,2
Kauno Vartotojai,2024-07-03 04:00:00,0.0643,2
Kauno Vartotojai,2024-07-03 05:00:00,0.0968,2
Kauno Vartotojai,2024-07-03 06:00:00,0.0749,2
Kauno Vartotojai,2024-07-03 07:00:00,0.2688,2
Kauno Vartotojai,2024-07-03 08:00:00,0.2084,2
Kauno Vartotojai,2024-07-03 09:00:00,0.0857,2
Kauno Vartotojai,2024-07-03 10:00:00,0.0482,2
Kauno Vartotojai,2024-07-03 11:00:00,0.0819,2
Kauno Vartotojai,2024-07-03 12:00:00,0.427,2
Kauno Vartotojai,2024-07-03 13:00:00,0.0594,2
Kauno Vartotojai,2024-07-03 14:00:00,0.0681,2
Kauno Vartotojai,2024-07-03 15:00:00,0.089,2
Kauno Vartotojai,2024-07-03 16:00:00,0.4271,2
Kauno Vartotojai,2024-07-03 17:00:00,0.0544,2
Kauno Vartotojai,2024-07-03 18:00:00,0.0879,2
Kauno Vartotojai,2024-07-03 19:00:00,0.0864,2
Kauno Vartotojai,2024-07-03 20:00:00,0.049,2
Kauno Vartotojai,2024-07-03 21:00:00,0.3804,2
Kauno Vartotojai,2024-07-03 22:00:00,0.089,2
Kauno Vartotojai,2024-07-03 23:00:00,0.0589,2
Kauno Vartotojai,2024-07-04 00:00:00,0.0698,2
Kauno Vartotojai,2024-07-04 01:00:00,0.4781,2
Kauno Vartotojai,2024-07-04 02:00:00,0.0684,2
Kauno Vartotojai,2024-07-04 03:00:00,0.0596,2
Kauno Vartotojai,2024-07-04 04:00:00,0.0882,2
Kauno Vartotojai,2024-07-04 05:00:00,0.264,2
Kauno Vartotojai,2024-07-04 06:00:00,0.2283,2
Kauno Vartotojai,2024-07-04 07:00:00,0.0882,2
Kauno Vartotojai,2024-07-04 08:00:00,0.0917,2
Kauno Vartotojai,2024-07-04 09:00:00,0.0463,2
Kauno Vartotojai,2024-07-04 10:00:00,0.4239,2
Kauno Vartotojai,2024-07-04 11:00:00,0.0854,2
Kauno Vartotojai,2024-07-04 12:00:00,0.0567,2
Kauno Vartotojai,2024-07-04 13:00:00,0.0693,2
Kauno Vartotojai,2024-07-04 14:00:00,0.1253,2
Kauno Vartotojai,2024-07-04 15:00:00,0.3468,2
Kauno Vartotojai,2024-07-04 16:00:00,0.0554,2
Kauno Vartotojai,2024-07-04 17:00:00,0.0884,2
Kauno Vartotojai,2024-07-04 18:00:00,0.0854,2
Kauno Vartotojai,2024-07-04 19:00:00,0.3769,2
Kauno Vartotojai,2024-07-04 20:00:00,0.0833,2
Kauno Vartotojai,2024-07-04 21:00:00,0.0886,2
Kauno Vartotojai,2024-07-04 22:00:00,0.0551,2
Kauno Vartotojai,2024-07-04 23:00:00,0.381,2
Kauno Vartotojai,2024-07-05 00:00:00,0.089,2
Kauno Vartotojai,2024-07-05 01:00:00,0.0661,2
Kauno Vartotojai,2024-07-05 02:00:00,0.0632,2
Kauno Vartotojai,2024-07-05 03:00:00,0.4323,2
Kauno Vartotojai,2024-07-05 04:00:00,0.0735,2
Kauno Vartotojai,2024-07-05 05:00:00,0.0527,2
Kauno Vartotojai,2024-07-05 06:00:00,0.0877,2
Kauno Vartotojai,2024-07-05 07:00:00,0.4202,2
Kauno Vartotojai,2024-07-05 08:00:00,0.0461,2
Kauno Vartotojai,2024-07-05 09:00:00,0.1292,2
Kauno Vartotojai,2024-07-05 10:00:00,0.072,2
Kauno Vartotojai,2024-07-05 11:00:00,0.2188,2
Kauno Vartotojai,2024-07-05 12:00:00,0.2947,2
Kauno Vartotojai,2024-07-05 13:00:00,0.0593,2
Kauno Vartotojai,2024-07-05 14:00:00,0.069,2
Kauno Vartotojai,2024-07-05 15:00:00,0.0891,2
Kauno Vartotojai,2024-07-05 16:00:00,0.4206,2
Kauno Vartotojai,2024-07-05 17:00:00,0.0537,2
Kauno Vartotojai,2024-07-05 18:00:00,0.0891,2
Kauno Vartotojai,2024-07-05 19:00:00,0.0843,2
Kauno Vartotojai,2024-07-05 20:00:00,0.3487,2
Kauno Vartotojai,2024-07-05 21:00:00,0.1505,2
Kauno Vartotojai,2024-07-05 22:00:00,0.0877,2
Kauno Vartotojai,2024-07-05 23:00:00,0.0557,2
Kauno Vartotojai,2024-07-06 00:00:00,0.0722,2
Kauno Vartotojai,2024-07-06 01:00:00,0.4349,2
Kauno Vartotojai,2024-07-06 02:00:00,0.063,2
Kauno Vartotojai,2024-07-06 03:00:00,0.0639,2
Kauno Vartotojai,2024-07-06 04:00:00,0.0888,2
Kauno Vartotojai,2024-07-06 05:00:00,0.3335,2
Kauno Vartotojai,2024-07-06 06:00:00,0.1389,2
Kauno Vartotojai,2024-07-06 07:00:00,0.0886,2
Kauno Vartotojai,2024-07-06 08:00:00,0.0762,2
Kauno Vartotojai,2024-07-06 09:00:00,0.0504,2
Kauno Vartotojai,2024-07-06 10:00:00,0.4327,2
Kauno Vartotojai,2024-07-06 11:00:00,0.0844,2
Kauno Vartotojai,2024-07-06 12:00:00,0.0473,2
Kauno Vartotojai,2024-07-06 13:00:00,0.084,2
Kauno Vartotojai,2024-07-06 14:00:00,0.4162,2
Kauno Vartotojai,2024-07-06 15:00:00,0.0609,2
Kauno Vartotojai,2024-07-06 16:00:00,0.0696,2
Kauno Vartotojai,2024-07-06 17:00:00,0.0874,2
Kauno Vartotojai,2024-07-06 18:00:00,0.181,2
Kauno Vartotojai,2024-07-06 19:00:00,0.3152,2
Kauno Vartotojai,2024-07-06 20:00:00,0.0873,2
Kauno Vartotojai,2024-07-06 21:00:00,0.0788,2
Kauno Vartotojai,2024-07-06 22:00:00,0.0471,2
Kauno Vartotojai,2024-07-06 23:00:00,0.4421,2
Kauno Vartotojai,2024-07-07 00:00:00,0.0871,2
Kauno Vartotojai,2024-07-07 01:00:00,0.0464,2
Kauno Vartotojai,2024-07-07 02:00:00,0.0824,2
Kauno Vartotojai,2024-07-07 03:00:00,0.0878,2
Kauno Vartotojai,2024-07-07 04:00:00,0.3557,2
Kauno Vartotojai,2024-07-07 05:00:00,0.0746,2
Kauno Vartotojai,2024-07-07 06:00:00,0.0881,2
Kauno Vartotojai,2024-07-07 07:00:00,0.0612,2
Kauno Vartotojai,2024-07-07 08:00:00,0.4088,2
Kauno Vartotojai,2024-07-07 09:00:00,0.0873,2
Kauno Vartotojai,2024-07-07 10:00:00,0.0697,2
Kauno Vartotojai,2024-07-07 11:00:00,0.0563,2
Kauno Vartotojai,2024-07-07 12:00:00,0.4739,2
Kauno Vartotojai,2024-07-07 13:00:00,0.0814,2
Kauno Vartotojai,2024-07-07 14:00:00,0.0466,2
Kauno Vartotojai,2024-07-07 15:00:00,0.087,2
