GR_NAME;PL_T;P+;OBJ_COUNT
Akmenës Vartotojai;2021-06-01 00:00:00.000;1,1143;4
Akmenës Vartotojai;2021-06-01 01:00:00.000;1,0049;4
Akmenës Vartotojai;2021-06-01 02:00:00.000;1,0041;4
Akmenës Vartotojai;2021-06-01 03:00:00.000;0,9457;4
Akmenës Vartotojai;2021-06-01 04:00:00.000;1,4165;4
Akmenës Vartotojai;2021-06-01 05:00:00.000;1,0919;4
Akmenës Vartotojai;2021-06-01 06:00:00.000;1,7904;4
Akmenës Vartotojai;2021-06-01 07:00:00.000;1,9042;4
Akmenës Vartotojai;2021-06-01 08:00:00.000;1,4949;4
Akmenës Vartotojai;2021-06-01 09:00:00.000;1,1744;4
Akmenës Vartotojai;2021-06-01 10:00:00.000;1,6648;4
Akmenës Vartotojai;2021-06-01 11:00:00.000;2,841;4
Akmenës Vartotojai;2021-06-01 12:00:00.000;1,5412;4
Akmenës Vartotojai;2021-06-01 13:00:00.000;1,1232;4
Akmenës Vartotojai;2021-06-01 14:00:00.000;1,5713;4
Akmenës Vartotojai;2021-06-01 15:00:00.000;2,1751;4
Akmenës Vartotojai;2021-06-01 16:00:00.000;1,1535;4
Akmenës Vartotojai;2021-06-01 17:00:00.000;1,3383;4
Akmenës Vartotojai;2021-06-01 18:00:00.000;1,5399;4
Akmenës Vartotojai;2021-06-01 19:00:00.000;2,226;4
Akmenës Vartotojai;2021-06-01 20:00:00.000;3,3302;4
Akmenës Vartotojai;2021-06-01 21:00:00.000;2,1605;4
Akmenës Vartotojai;2021-06-01 22:00:00.000;1,3355;4
Akmenës Vartotojai;2021-06-01 23:00:00.000;1,1836;4
Akmenës Vartotojai;2021-06-02 00:00:00.000;1,1286;4
Akmenës Vartotojai;2021-06-02 01:00:00.000;1,1173;4
Akmenës Vartotojai;2021-06-02 02:00:00.000;1,0948;4
Akmenës Vartotojai;2021-06-02 03:00:00.000;0,9348;4
Akmenës Vartotojai;2021-06-02 04:00:00.000;1,08;4
Akmenës Vartotojai;2021-06-02 05:00:00.000;1,4702;4
Akmenës Vartotojai;2021-06-02 06:00:00.000;1,804;4
Akmenës Vartotojai;2021-06-02 07:00:00.000;2,6477;4
Akmenës Vartotojai;2021-06-02 08:00:00.000;1,4546;4
Akmenës Vartotojai;2021-06-02 09:00:00.000;1,2274;4
Akmenës Vartotojai;2021-06-02 10:00:00.000;2,611;4
Akmenës Vartotojai;2021-06-02 11:00:00.000;3,5143;4
Akmenës Vartotojai;2021-06-02 12:00:00.000;2,9176;4
Akmenës Vartotojai;2021-06-02 13:00:00.000;2,1552;4
Akmenës Vartotojai;2021-06-02 14:00:00.000;2,5721;4
Akmenës Vartotojai;2021-06-02 15:00:00.000;1,5338;4
Akmenës Vartotojai;2021-06-02 16:00:00.000;1,9337;4
Akmenës Vartotojai;2021-06-02 17:00:00.000;2,1068;4
Akmenës Vartotojai;2021-06-02 18:00:00.000;1,4336;4
Akmenës Vartotojai;2021-06-02 19:00:00.000;1,9382;4
Akmenës Vartotojai;2021-06-02 20:00:00.000;2,6509;4
Akmenës Vartotojai;2021-06-02 21:00:00.000;1,8426;4
Akmenës Vartotojai;2021-06-02 22:00:00.000;1,0207;4
Akmenës Vartotojai;2021-06-02 23:00:00.000;0,9937;4
Akmenës Vartotojai;2021-06-03 00:00:00.000;1,047;4
Akmenës Vartotojai;2021-06-03 01:00:00.000;1,1601;4
Akmenës Vartotojai;2021-06-03 02:00:00.000;1,2867;4
Akmenës Vartotojai;2021-06-03 03:00:00.000;1,5049;4
Akmenës Vartotojai;2021-06-03 04:00:00.000;0,8843;4
Akmenës Vartotojai;2021-06-03 05:00:00.000;1,2003;4
Akmenës Vartotojai;2021-06-03 06:00:00.000;2,4524;4
Akmenës Vartotojai;2021-06-03 07:00:00.000;1,9793;4
Akmenës Vartotojai;2021-06-03 08:00:00.000;2,388;4
Akmenës Vartotojai;2021-06-03 09:00:00.000;1,9767;4
Akmenës Vartotojai;2021-06-03 10:00:00.000;1,2119;4
Akmenës Vartotojai;2021-06-03 11:00:00.000;2,9441;4
Akmenës Vartotojai;2021-06-03 12:00:00.000;2,988;4
Akmenës Vartotojai;2021-06-03 13:00:00.000;1,9283;4
Akmenës Vartotojai;2021-06-03 14:00:00.000;1,2279;4
Akmenës Vartotojai;2021-06-03 15:00:00.000;0,8877;4
Akmenës Vartotojai;2021-06-03 16:00:00.000;1,7559;4
Akmenës Vartotojai;2021-06-03 17:00:00.000;1,3114;4
Akmenës Vartotojai;2021-06-03 18:00:00.000;1,2074;4
Akmenës Vartotojai;2021-06-03 19:00:00.000;1,925;4
Akmenës Vartotojai;2021-06-03 20:00:00.000;1,4436;4
Akmenës Vartotojai;2021-06-03 21:00:00.000;2,0002;4
Akmenës Vartotojai;2021-06-03 22:00:00.000;1,6262;4
Akmenës Vartotojai;2021-06-03 23:00:00.000;1,3756;4
Akmenës Vartotojai;2021-06-04 00:00:00.000;1,6136;4
Akmenës Vartotojai;2021-06-04 01:00:00.000;1,5935;4
Akmenës Vartotojai;2021-06-04 02:00:00.000;1,431;4
Akmenës Vartotojai;2021-06-04 03:00:00.000;2,1466;4
Akmenës Vartotojai;2021-06-04 04:00:00.000;1,595;4
Akmenës Vartotojai;2021-06-04 05:00:00.000;1,4885;4
Akmenës Vartotojai;2021-06-04 06:00:00.000;2,718;4
Akmenës Vartotojai;2021-06-04 07:00:00.000;1,7346;4
Akmenës Vartotojai;2021-06-04 08:00:00.000;1,3104;4
Akmenës Vartotojai;2021-06-04 09:00:00.000;2,2182;4
Akmenës Vartotojai;2021-06-04 10:00:00.000;1,1691;4
Akmenës Vartotojai;2021-06-04 11:00:00.000;1,1992;4
Akmenës Vartotojai;2021-06-04 12:00:00.000;2,0316;4
Akmenës Vartotojai;2021-06-04 13:00:00.000;3,6253;4
