GR_NAME,PL_T,P+,OBJ_COUNT
Akmenės Vartotojai,2023-04-01 00:00:00,1.0763,6
Akmenės Vartotojai,2023-04-01 01:00:00,0.8738,6
Akmenės Vartotojai,2023-04-01 02:00:00,0.8726,6
Akmenės Vartotojai,2023-04-01 03:00:00,0.9378,6
Akmenės Vartotojai,2023-04-01 04:00:00,0.827,6
Akmenės Vartotojai,2023-04-01 05:00:00,0.9117,6
Akmenės Vartotojai,2023-04-01 06:00:00,1.071,6
Akmenės Vartotojai,2023-04-01 07:00:00,0.9854,6
Akmenės Vartotojai,2023-04-01 08:00:00,1.9816,6
Akmenės Vartotojai,2023-04-01 09:00:00,1.4182,6
Akmenės Vartotojai,2023-04-01 10:00:00,2.6074,6
Akmenės Vartotojai,2023-04-01 11:00:00,2.0122,6
Akmenės Vartotojai,2023-04-01 12:00:00,0.9746,6
Akmenės Vartotojai,2023-04-01 13:00:00,0.9598,6
Akmenės Vartotojai,2023-04-01 14:00:00,1.0101,6
Akmenės Vartotojai,2023-04-01 15:00:00,1.0072,6
Akmenės Vartotojai,2023-04-01 16:00:00,1.0271,6
Akmenės Vartotojai,2023-04-01 17:00:00,1.4208,6
Akmenės Vartotojai,2023-04-01 18:00:00,2.1275,6
Akmenės Vartotojai,2023-04-01 19:00:00,2.0054,6
Akmenės Vartotojai,2023-04-01 20:00:00,1.085,6
Akmenės Vartotojai,2023-04-01 21:00:00,1.4828,6
Akmenės Vartotojai,2023-04-01 22:00:00,1.5234,6
Akmenės Vartotojai,2023-04-01 23:00:00,0.9913,6
Akmenės Vartotojai,2023-04-02 00:00:00,0.9762,6
Akmenės Vartotojai,2023-04-02 01:00:00,0.9529,6
Akmenės Vartotojai,2023-04-02 02:00:00,0.7809,6
Akmenės Vartotojai,2023-04-02 03:00:00,0.9337,6
Akmenės Vartotojai,2023-04-02 04:00:00,0.8185,6
Akmenės Vartotojai,2023-04-02 05:00:00,1.1509,6
Akmenės Vartotojai,2023-04-02 06:00:00,1.0063,6
Akmenės Vartotojai,2023-04-02 07:00:00,0.8744,6
Akmenės Vartotojai,2023-04-02 08:00:00,0.9204,6
Akmenės Vartotojai,2023-04-02 09:00:00,0.9041,6
Akmenės Vartotojai,2023-04-02 10:00:00,1.8361,6
Akmenės Vartotojai,2023-04-02 11:00:00,1.3794,6
Akmenės Vartotojai,2023-04-02 12:00:00,1.2229,6
Akmenės Vartotojai,2023-04-02 13:00:00,0.9797,6
Akmenės Vartotojai,2023-04-02 14:00:00,1.4751,6
Akmenės Vartotojai,2023-04-02 15:00:00,1.4666,6
Akmenės Vartotojai,2023-04-02 16:00:00,1.0476,6
Akmenės Vartotojai,2023-04-02 17:00:00,1.3147,6
Akmenės Vartotojai,2023-04-02 18:00:00,1.8316,6
Akmenės Vartotojai,2023-04-02 19:00:00,1.6615,6
Akmenės Vartotojai,2023-04-02 20:00:00,2.4799,6
Akmenės Vartotojai,2023-04-02 21:00:00,2.382,6
Akmenės Vartotojai,2023-04-02 22:00:00,1.2435,6
Akmenės Vartotojai,2023-04-02 23:00:00,2.0734,6
Akmenės Vartotojai,2023-04-03 00:00:00,1.127,6
Akmenės Vartotojai,2023-04-03 01:00:00,0.8106,6
Akmenės Vartotojai,2023-04-03 02:00:00,0.8413,6
Akmenės Vartotojai,2023-04-03 03:00:00,0.7731,6
Akmenės Vartotojai,2023-04-03 04:00:00,0.8498,6
Akmenės Vartotojai,2023-04-03 05:00:00,0.9043,6
Akmenės Vartotojai,2023-04-03 06:00:00,0.9885,6
Akmenės Vartotojai,2023-04-03 07:00:00,1.063,6
Akmenės Vartotojai,2023-04-03 08:00:00,0.9271,6
Akmenės Vartotojai,2023-04-03 09:00:00,1.0234,6
Akmenės Vartotojai,2023-04-03 10:00:00,1.2562,6
Akmenės Vartotojai,2023-04-03 11:00:00,1.0672,6
Akmenės Vartotojai,2023-04-03 12:00:00,1.2235,6
Akmenės Vartotojai,2023-04-03 13:00:00,0.8195,6
Akmenės Vartotojai,2023-04-03 14:00:00,0.8726,6
Akmenės Vartotojai,2023-04-03 15:00:00,1.0278,6
Akmenės Vartotojai,2023-04-03 16:00:00,1.0132,6
Akmenės Vartotojai,2023-04-03 17:00:00,1.397,6
Akmenės Vartotojai,2023-04-03 18:00:00,1.8674,6
Akmenės Vartotojai,2023-04-03 19:00:00,1.9751,6
Akmenės Vartotojai,2023-04-03 20:00:00,1.4968,6
Akmenės Vartotojai,2023-04-03 21:00:00,1.28,6
Akmenės Vartotojai,2023-04-03 22:00:00,1.0917,6
Akmenės Vartotojai,2023-04-03 23:00:00,1.1818,6
Akmenės Vartotojai,2023-04-04 00:00:00,0.8735,6
Akmenės Vartotojai,2023-04-04 01:00:00,0.742,6
Akmenės Vartotojai,2023-04-04 02:00:00,0.9349,6
Akmenės Vartotojai,2023-04-04 03:00:00,0.7351,6
Akmenės Vartotojai,2023-04-04 04:00:00,0.8362,6
Akmenės Vartotojai,2023-04-04 05:00:00,0.8665,6
Akmenės Vartotojai,2023-04-04 06:00:00,0.9688,6
Akmenės Vartotojai,2023-04-04 07:00:00,0.9062,6
Akmenės Vartotojai,2023-04-04 08:00:00,1.0899,6
Akmenės Vartotojai,2023-04-04 09:00:00,0.8464,6
Akmenės Vartotojai,2023-04-04 10:00:00,1.1571,6
Akmenės Vartotojai,2023-04-04 11:00:00,0.9137,6
Akmenės Vartotojai,2023-04-04 12:00:00,0.8838,6
Akmenės Vartotojai,2023-04-04 13:00:00,0.9014,6
Akmenės Vartotojai,2023-04-04 14:00:00,0.8727,6
Akmenės Vartotojai,2023-04-04 15:00:00,0.9502,6
Akmenės Vartotojai,2023-04-04 16:00:00,1.5807,6
Akmenės Vartotojai,2023-04-04 17:00:00,1.5656,6
Akmenės Vartotojai,2023-04-04 18:00:00,1.2834,6
Akmenės Vartotojai,2023-04-04 19:00:00,1.2256,6
Akmenės Vartotojai,2023-04-04 20:00:00,1.4716,6
Akmenės Vartotojai,2023-04-04 21:00:00,1.4343,6
Akmenės Vartotojai,2023-04-04 22:00:00,0.9468,6
Akmenės Vartotojai,2023-04-04 23:00:00,1.0396,6
Akmenės Vartotojai,2023-04-05 00:00:00,0.9386,6
Akmenės Vartotojai,2023-04-05 01:00:00,0.7575,6
Akmenės Vartotojai,2023-04-05 02:00:00,0.7936,6
Akmenės Vartotojai,2023-04-05 03:00:00,0.9982,6
Akmenės Vartotojai,2023-04-05 04:00:00,0.8459,6
Akmenės Vartotojai,2023-04-05 05:00:00,0.9004,6
Akmenės Vartotojai,2023-04-05 06:00:00,0.9944,6
Akmenės Vartotojai,2023-04-05 07:00:00,0.8112,6
Akmenės Vartotojai,2023-04-05 08:00:00,1.005,6
Akmenės Vartotojai,2023-04-05 09:00:00,1.0215,6
Akmenės Vartotojai,2023-04-05 10:00:00,1.0155,6
Akmenės Vartotojai,2023-04-05 11:00:00,1.1951,6
Akmenės Vartotojai,2023-04-05 12:00:00,2.5142,6
Akmenės Vartotojai,2023-04-05 13:00:00,1.8827,6
