GR_NAME,PL_T,P+,OBJ_COUNT
Akmenės Vartotojai,2023-03-01 00:00:00,1.6789,7
Akmenės Vartotojai,2023-03-01 01:00:00,1.5582,7
Akmenės Vartotojai,2023-03-01 02:00:00,1.7209,7
Akmenės Vartotojai,2023-03-01 03:00:00,1.0445,7
Akmenės Vartotojai,2023-03-01 04:00:00,1.0302,7
Akmenės Vartotojai,2023-03-01 05:00:00,1.0411,7
Akmenės Vartotojai,2023-03-01 06:00:00,0.9744,7
Akmenės Vartotojai,2023-03-01 07:00:00,1.0145,7
Akmenės Vartotojai,2023-03-01 08:00:00,1.0461,7
Akmenės Vartotojai,2023-03-01 09:00:00,2.1313,7
Akmenės Vartotojai,2023-03-01 10:00:00,1.3223,7
Akmenės Vartotojai,2023-03-01 11:00:00,1.2065,7
Akmenės Vartotojai,2023-03-01 12:00:00,1.5324,7
Akmenės Vartotojai,2023-03-01 13:00:00,2.6768,7
Akmenės Vartotojai,2023-03-01 14:00:00,1.4146,7
Akmenės Vartotojai,2023-03-01 15:00:00,1.0583,7
Akmenės Vartotojai,2023-03-01 16:00:00,1.3593,7
Akmenės Vartotojai,2023-03-01 17:00:00,1.6185,7
Akmenės Vartotojai,2023-03-01 18:00:00,3.137,7
Akmenės Vartotojai,2023-03-01 19:00:00,3.3604,7
Akmenės Vartotojai,2023-03-01 20:00:00,2.9241,7
Akmenės Vartotojai,2023-03-01 21:00:00,3.5255,7
Akmenės Vartotojai,2023-03-01 22:00:00,2.6067,7
Akmenės Vartotojai,2023-03-01 23:00:00,1.294,7
Akmenės Vartotojai,2023-03-02 00:00:00,1.9143,7
Akmenės Vartotojai,2023-03-02 01:00:00,0.8983,7
Akmenės Vartotojai,2023-03-02 02:00:00,0.9906,7
Akmenės Vartotojai,2023-03-02 03:00:00,0.9303,7
Akmenės Vartotojai,2023-03-02 04:00:00,0.9071,7
Akmenės Vartotojai,2023-03-02 05:00:00,1.0781,7
Akmenės Vartotojai,2023-03-02 06:00:00,1.0834,7
Akmenės Vartotojai,2023-03-02 07:00:00,1.6439,7
Akmenės Vartotojai,2023-03-02 08:00:00,1.3187,7
Akmenės Vartotojai,2023-03-02 09:00:00,2.0532,7
Akmenės Vartotojai,2023-03-02 10:00:00,2.0135,7
Akmenės Vartotojai,2023-03-02 11:00:00,3.2555,7
Akmenės Vartotojai,2023-03-02 12:00:00,1.5064,7
Akmenės Vartotojai,2023-03-02 13:00:00,1.2837,7
Akmenės Vartotojai,2023-03-02 14:00:00,1.1015,7
Akmenės Vartotojai,2023-03-02 15:00:00,2.377,7
Akmenės Vartotojai,2023-03-02 16:00:00,1.8197,7
Akmenės Vartotojai,2023-03-02 17:00:00,1.5678,7
Akmenės Vartotojai,2023-03-02 18:00:00,1.9863,7
Akmenės Vartotojai,2023-03-02 19:00:00,2.7185,7
Akmenės Vartotojai,2023-03-02 20:00:00,2.6987,7
Akmenės Vartotojai,2023-03-02 21:00:00,1.8784,7
Akmenės Vartotojai,2023-03-02 22:00:00,2.1618,7
Akmenės Vartotojai,2023-03-02 23:00:00,1.8306,7
Akmenės Vartotojai,2023-03-03 00:00:00,1.4076,7
Akmenės Vartotojai,2023-03-03 01:00:00,1.0583,7
Akmenės Vartotojai,2023-03-03 02:00:00,0.9604,7
Akmenės Vartotojai,2023-03-03 03:00:00,0.9319,7
Akmenės Vartotojai,2023-03-03 04:00:00,0.9864,7
Akmenės Vartotojai,2023-03-03 05:00:00,1.1421,7
Akmenės Vartotojai,2023-03-03 06:00:00,1.0124,7
Akmenės Vartotojai,2023-03-03 07:00:00,1.1875,7
Akmenės Vartotojai,2023-03-03 08:00:00,1.7635,7
Akmenės Vartotojai,2023-03-03 09:00:00,1.9552,7
Akmenės Vartotojai,2023-03-03 10:00:00,2.5892,7
Akmenės Vartotojai,2023-03-03 11:00:00,1.4795,7
Akmenės Vartotojai,2023-03-03 12:00:00,1.8132,7
Akmenės Vartotojai,2023-03-03 13:00:00,1.6144,7
Akmenės Vartotojai,2023-03-03 14:00:00,2.0517,7
Akmenės Vartotojai,2023-03-03 15:00:00,1.6525,7
Akmenės Vartotojai,2023-03-03 16:00:00,1.8735,7
Akmenės Vartotojai,2023-03-03 17:00:00,1.3824,7
Akmenės Vartotojai,2023-03-03 18:00:00,1.8668,7
