GR_NAME,PL_T,P+,OBJ_COUNT
Akmenės Vartotojai,2024-01-01 00:00:00,0.444,1
Akmenės Vartotojai,2024-01-01 01:00:00,0.302,1
Akmenės Vartotojai,2024-01-01 02:00:00,0.272,1
Akmenės Vartotojai,2024-01-01 03:00:00,0.412,1
Akmenės Vartotojai,2024-01-01 04:00:00,1.17,1
Akmenės Vartotojai,2024-01-01 05:00:00,0.174,1
Akmenės Vartotojai,2024-01-01 06:00:00,0.198,1
Akmenės Vartotojai,2024-01-01 07:00:00,0.36,1
Akmenės Vartotojai,2024-01-01 08:00:00,0.204,1
Akmenės Vartotojai,2024-01-01 09:00:00,0.172,1
Akmenės Vartotojai,2024-01-01 10:00:00,0.188,1
Akmenės Vartotojai,2024-01-01 11:00:00,0.548,1
Akmenės Vartotojai,2024-01-01 12:00:00,0.638,1
Akmenės Vartotojai,2024-01-01 13:00:00,0.41,1
Akmenės Vartotojai,2024-01-01 14:00:00,0.352,1
Akmenės Vartotojai,2024-01-01 15:00:00,0.384,1
Akmenės Vartotojai,2024-01-01 16:00:00,0.466,1
Akmenės Vartotojai,2024-01-01 17:00:00,0.534,1
Akmenės Vartotojai,2024-01-01 18:00:00,0.692,1
Akmenės Vartotojai,2024-01-01 19:00:00,0.658,1
Akmenės Vartotojai,2024-01-01 20:00:00,0.52,1
Akmenės Vartotojai,2024-01-01 21:00:00,0.56,1
Akmenės Vartotojai,2024-01-01 22:00:00,0.56,1
Akmenės Vartotojai,2024-01-01 23:00:00,0.54,1
Akmenės Vartotojai,2024-01-02 00:00:00,0.59,1
Akmenės Vartotojai,2024-01-02 01:00:00,1.204,1
Akmenės Vartotojai,2024-01-02 02:00:00,0.344,1
Akmenės Vartotojai,2024-01-02 03:00:00,0.344,1
Akmenės Vartotojai,2024-01-02 04:00:00,0.15,1
Akmenės Vartotojai,2024-01-02 05:00:00,0.16,1
Akmenės Vartotojai,2024-01-02 06:00:00,0.166,1
Akmenės Vartotojai,2024-01-02 07:00:00,0.14,1
Akmenės Vartotojai,2024-01-02 08:00:00,0.112,1
Akmenės Vartotojai,2024-01-02 09:00:00,0.164,1
Akmenės Vartotojai,2024-01-02 10:00:00,0.236,1
Akmenės Vartotojai,2024-01-02 11:00:00,0.152,1
Akmenės Vartotojai,2024-01-02 12:00:00,0.288,1
Akmenės Vartotojai,2024-01-02 13:00:00,0.386,1
Akmenės Vartotojai,2024-01-02 14:00:00,0.372,1
Akmenės Vartotojai,2024-01-02 15:00:00,0.962,1
Akmenės Vartotojai,2024-01-02 16:00:00,0.59,1
Akmenės Vartotojai,2024-01-02 17:00:00,0.832,1
Akmenės Vartotojai,2024-01-02 18:00:00,1.092,1
Akmenės Vartotojai,2024-01-02 19:00:00,0.858,1
Akmenės Vartotojai,2024-01-02 20:00:00,1.104,1
Akmenės Vartotojai,2024-01-02 21:00:00,1.366,1
Akmenės Vartotojai,2024-01-02 22:00:00,0.922,1
Akmenės Vartotojai,2024-01-02 23:00:00,0.458,1
Akmenės Vartotojai,2024-01-03 00:00:00,0.32,1
Akmenės Vartotojai,2024-01-03 01:00:00,0.22,1
Akmenės Vartotojai,2024-01-03 02:00:00,0.226,1
Akmenės Vartotojai,2024-01-03 03:00:00,0.17,1
Akmenės Vartotojai,2024-01-03 04:00:00,0.158,1
Akmenės Vartotojai,2024-01-03 05:00:00,0.154,1
Akmenės Vartotojai,2024-01-03 06:00:00,0.102,1
Akmenės Vartotojai,2024-01-03 07:00:00,0.146,1
Akmenės Vartotojai,2024-01-03 08:00:00,0.198,1
