GR_NAME;PL_T;P+;OBJ_COUNT
Akmenës Vartotojai;2021-09-01 00:00:00.000;2,3932;6
Akmenës Vartotojai;2021-09-01 01:00:00.000;3,1507;6
Akmenës Vartotojai;2021-09-01 02:00:00.000;2,0026;6
Akmenës Vartotojai;2021-09-01 03:00:00.000;1,6302;6
Akmenës Vartotojai;2021-09-01 04:00:00.000;1,6575;6
Akmenës Vartotojai;2021-09-01 05:00:00.000;2,2304;6
Akmenës Vartotojai;2021-09-01 06:00:00.000;2,559;6
Akmenës Vartotojai;2021-09-01 07:00:00.000;1,9259;6
Akmenës Vartotojai;2021-09-01 08:00:00.000;4,1119;6
Akmenës Vartotojai;2021-09-01 09:00:00.000;2,5929;6
Akmenës Vartotojai;2021-09-01 10:00:00.000;2,7958;6
Akmenës Vartotojai;2021-09-01 11:00:00.000;2,2509;6
Akmenës Vartotojai;2021-09-01 12:00:00.000;2,616;6
Akmenës Vartotojai;2021-09-01 13:00:00.000;2,8212;6
Akmenës Vartotojai;2021-09-01 14:00:00.000;4,3664;6
Akmenës Vartotojai;2021-09-01 15:00:00.000;3,7934;6
Akmenës Vartotojai;2021-09-01 16:00:00.000;2,6426;6
Akmenës Vartotojai;2021-09-01 17:00:00.000;2,2625;6
Akmenës Vartotojai;2021-09-01 18:00:00.000;3,4697;6
Akmenës Vartotojai;2021-09-01 19:00:00.000;3,3212;6
Akmenës Vartotojai;2021-09-01 20:00:00.000;3,4637;6
Akmenës Vartotojai;2021-09-01 21:00:00.000;3,3719;6
Akmenës Vartotojai;2021-09-01 22:00:00.000;2,1872;6
Akmenës Vartotojai;2021-09-01 23:00:00.000;2,236;6
Akmenës Vartotojai;2021-09-02 00:00:00.000;3,2337;6
Akmenës Vartotojai;2021-09-02 01:00:00.000;2,1583;6
Akmenës Vartotojai;2021-09-02 02:00:00.000;1,7403;6
Akmenës Vartotojai;2021-09-02 03:00:00.000;2,6818;6
Akmenës Vartotojai;2021-09-02 04:00:00.000;2,0774;6
Akmenës Vartotojai;2021-09-02 05:00:00.000;1,8183;6
Akmenës Vartotojai;2021-09-02 06:00:00.000;2,8223;6
Akmenës Vartotojai;2021-09-02 07:00:00.000;2,4088;6
Akmenës Vartotojai;2021-09-02 08:00:00.000;3,4705;6
Akmenës Vartotojai;2021-09-02 09:00:00.000;3,9013;6
Akmenës Vartotojai;2021-09-02 10:00:00.000;4,7554;6
Akmenës Vartotojai;2021-09-02 11:00:00.000;4,5981;6
Akmenës Vartotojai;2021-09-02 12:00:00.000;2,728;6
Akmenës Vartotojai;2021-09-02 13:00:00.000;2,0045;6
Akmenës Vartotojai;2021-09-02 14:00:00.000;2,2924;6
Akmenës Vartotojai;2021-09-02 15:00:00.000;4,8336;6
Akmenës Vartotojai;2021-09-02 16:00:00.000;3,4359;6
Akmenës Vartotojai;2021-09-02 17:00:00.000;3,7982;6
Akmenës Vartotojai;2021-09-02 18:00:00.000;4,8128;6
Akmenës Vartotojai;2021-09-02 19:00:00.000;5,7156;6
Akmenës Vartotojai;2021-09-02 20:00:00.000;4,9708;6
Akmenës Vartotojai;2021-09-02 21:00:00.000;3,3247;6
Akmenës Vartotojai;2021-09-02 22:00:00.000;3,2274;6
Akmenës Vartotojai;2021-09-02 23:00:00.000;1,9967;6
Akmenës Vartotojai;2021-09-03 00:00:00.000;1,8781;6
Akmenës Vartotojai;2021-09-03 01:00:00.000;1,787;6
Akmenës Vartotojai;2021-09-03 02:00:00.000;1,5176;6
Akmenës Vartotojai;2021-09-03 03:00:00.000;1,3199;6
Akmenës Vartotojai;2021-09-03 04:00:00.000;1,374;6
Akmenës Vartotojai;2021-09-03 05:00:00.000;2,0537;6
Akmenës Vartotojai;2021-09-03 06:00:00.000;2,1128;6
Akmenës Vartotojai;2021-09-03 07:00:00.000;2,7337;6
Akmenës Vartotojai;2021-09-03 08:00:00.000;2,6301;6
Akmenës Vartotojai;2021-09-03 09:00:00.000;2,9633;6
Akmenës Vartotojai;2021-09-03 10:00:00.000;2,3751;6
Akmenës Vartotojai;2021-09-03 11:00:00.000;3,6684;6
Akmenës Vartotojai;2021-09-03 12:00:00.000;3,9368;6
Akmenës Vartotojai;2021-09-03 13:00:00.000;5,3711;6
Akmenës Vartotojai;2021-09-03 14:00:00.000;2,635;6
Akmenës Vartotojai;2021-09-03 15:00:00.000;3,3822;6
Akmenës Vartotojai;2021-09-03 16:00:00.000;2,9466;6
Akmenës Vartotojai;2021-09-03 17:00:00.000;2,8008;6
Akmenës Vartotojai;2021-09-03 18:00:00.000;3,0592;6
Akmenës Vartotojai;2021-09-03 19:00:00.000;3,5289;6
Akmenës Vartotojai;2021-09-03 20:00:00.000;3,7695;6
Akmenës Vartotojai;2021-09-03 21:00:00.000;3,3131;6
Akmenës Vartotojai;2021-09-03 22:00:00.000;3,1348;6
Akmenës Vartotojai;2021-09-03 23:00:00.000;1,7874;6
Akmenës Vartotojai;2021-09-04 00:00:00.000;3,069;6
Akmenës Vartotojai;2021-09-04 01:00:00.000;2,3026;6
Akmenës Vartotojai;2021-09-04 02:00:00.000;2,2175;6
